age,sex,cnt_per_age,perc_of_count_total
90.0,Male,4,0.7874015748031495
90.0,Female,4,0.7874015748031495
75.0,Male,4,0.7874015748031495
75.0,Female,3,0.5905511811023622
50.0,Male,6,1.1811023622047243
50.0,Female,3,0.5905511811023622
